nohup: 忽略输入
2023-08-26 20:01:49.166119: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-08-26 20:01:49.625335: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/yanglj/Desktop/restoration/ECSC-Net/core/ECSCNet.py:53: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  z = F.conv2d(z, D, stride=stride)
Iter 15.529K-> avg_loss: 0.0017, avg_psnr: 27.6133, cur_loss: 0.0017, cur_psnr: 27.6133, LR= 1.40000e-04, index: [1481],
Iter 15.729K-> avg_loss: 0.0025, avg_psnr: 27.1904, cur_loss: 0.0008, cur_psnr: 30.9774, LR= 1.40000e-04, index: [1182],
Iter 15.929K-> avg_loss: 0.0026, avg_psnr: 27.0217, cur_loss: 0.0007, cur_psnr: 31.5405, LR= 1.40000e-04, index: [2697],
Iter 16.129K-> avg_loss: 0.0026, avg_psnr: 27.0624, cur_loss: 0.0005, cur_psnr: 32.6553, LR= 1.40000e-04, index: [483],
Iter 16.329K-> avg_loss: 0.0025, avg_psnr: 27.1437, cur_loss: 0.0006, cur_psnr: 32.5153, LR= 1.40000e-04, index: [1629],
Iter 16.529K-> avg_loss: 0.0025, avg_psnr: 27.1055, cur_loss: 0.0004, cur_psnr: 34.5522, LR= 1.40000e-04, index: [666],
Iter 16.729K-> avg_loss: 0.0025, avg_psnr: 27.0503, cur_loss: 0.0042, cur_psnr: 23.7620, LR= 1.40000e-04, index: [3750],
Iter 16.929K-> avg_loss: 0.0025, avg_psnr: 27.0711, cur_loss: 0.0017, cur_psnr: 27.8070, LR= 1.40000e-04, index: [687],
Iter 17.129K-> avg_loss: 0.0025, avg_psnr: 27.0638, cur_loss: 0.0020, cur_psnr: 26.8904, LR= 1.40000e-04, index: [4003],
Iter 17.329K-> avg_loss: 0.0025, avg_psnr: 27.0340, cur_loss: 0.0004, cur_psnr: 34.2782, LR= 1.40000e-04, index: [778],
Iter 17.529K-> avg_loss: 0.0025, avg_psnr: 27.0549, cur_loss: 0.0019, cur_psnr: 27.1968, LR= 1.40000e-04, index: [3950],
Iter 17.729K-> avg_loss: 0.0025, avg_psnr: 27.0261, cur_loss: 0.0018, cur_psnr: 27.5076, LR= 1.40000e-04, index: [4096],
Iter 17.929K-> avg_loss: 0.0025, avg_psnr: 27.0386, cur_loss: 0.0023, cur_psnr: 26.3683, LR= 1.40000e-04, index: [3518],
Iter 18.129K-> avg_loss: 0.0025, avg_psnr: 27.0222, cur_loss: 0.0063, cur_psnr: 22.0259, LR= 1.40000e-04, index: [1234],
Iter 18.329K-> avg_loss: 0.0026, avg_psnr: 27.0257, cur_loss: 0.0024, cur_psnr: 26.1704, LR= 1.40000e-04, index: [4976],
Iter 18.529K-> avg_loss: 0.0026, avg_psnr: 27.0249, cur_loss: 0.0013, cur_psnr: 28.7520, LR= 1.40000e-04, index: [54],
Iter 18.729K-> avg_loss: 0.0026, avg_psnr: 27.0379, cur_loss: 0.0026, cur_psnr: 25.7982, LR= 1.40000e-04, index: [4142],
Iter 18.929K-> avg_loss: 0.0026, avg_psnr: 27.0235, cur_loss: 0.0087, cur_psnr: 20.6059, LR= 1.40000e-04, index: [3755],
Iter 19.129K-> avg_loss: 0.0026, avg_psnr: 27.0268, cur_loss: 0.0009, cur_psnr: 30.6215, LR= 1.40000e-04, index: [3606],
Iter 19.329K-> avg_loss: 0.0026, avg_psnr: 27.0226, cur_loss: 0.0007, cur_psnr: 31.4198, LR= 1.40000e-04, index: [1352],
Iter 19.529K-> avg_loss: 0.0026, avg_psnr: 27.0282, cur_loss: 0.0002, cur_psnr: 36.0820, LR= 1.40000e-04, index: [1908],
Iter 19.729K-> avg_loss: 0.0026, avg_psnr: 27.0335, cur_loss: 0.0013, cur_psnr: 28.7759, LR= 1.40000e-04, index: [258],
Iter 19.929K-> avg_loss: 0.0026, avg_psnr: 27.0404, cur_loss: 0.0029, cur_psnr: 25.4203, LR= 1.40000e-04, index: [4301],
Iter 20.129K-> avg_loss: 0.0026, avg_psnr: 27.0546, cur_loss: 0.0045, cur_psnr: 23.4904, LR= 1.40000e-04, index: [2122],
Iter 20.329K-> avg_loss: 0.0026, avg_psnr: 27.0568, cur_loss: 0.0025, cur_psnr: 25.9740, LR= 1.40000e-04, index: [4905],
Iter 20.529K-> avg_loss: 0.0026, avg_psnr: 27.0618, cur_loss: 0.0016, cur_psnr: 27.8756, LR= 1.40000e-04, index: [4554],
training epoch    4 consumed time : 3.62min
test-> epoch:    4, avg_loss: 0.0030, avg_psnr: 25.9522, Time consumed:0.12min
-----------------------------------------------------------

Iter 20.705K-> avg_loss: 0.0021, avg_psnr: 26.7169, cur_loss: 0.0021, cur_psnr: 26.7169, LR= 1.40000e-04, index: [3685],
Iter 20.905K-> avg_loss: 0.0027, avg_psnr: 26.8414, cur_loss: 0.0019, cur_psnr: 27.2631, LR= 1.40000e-04, index: [3664],
Iter 21.105K-> avg_loss: 0.0026, avg_psnr: 27.0401, cur_loss: 0.0009, cur_psnr: 30.4623, LR= 1.40000e-04, index: [3175],
Iter 21.305K-> avg_loss: 0.0025, avg_psnr: 27.1369, cur_loss: 0.0023, cur_psnr: 26.2970, LR= 1.40000e-04, index: [282],
Iter 21.505K-> avg_loss: 0.0025, avg_psnr: 27.1377, cur_loss: 0.0008, cur_psnr: 31.1465, LR= 1.40000e-04, index: [3689],
Iter 21.705K-> avg_loss: 0.0025, avg_psnr: 27.1612, cur_loss: 0.0042, cur_psnr: 23.7587, LR= 1.40000e-04, index: [3509],
Iter 21.905K-> avg_loss: 0.0025, avg_psnr: 27.1321, cur_loss: 0.0005, cur_psnr: 32.8410, LR= 1.40000e-04, index: [4102],
